"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","followers_count"
"Tue Dec 12 23:06:14 +0000 2023","1734711285579694324","@Bambangmulyonoo Kayaknya dia lebih pantes jadi penggembira jadi pemandu sorak jabatan yg pas untuk samsul ini. Bubaran debat msh digedung KPU dia yg namanya rame dipanggil mas gibran mas gibran eehh dia ngacir gk brani nongol padahal yang lain masih dikerubutin dan mau diwawancara","0","0","0","2","in","830087634709942273","1734698560455897493","ellenhans65","https://twitter.com/ellenhans65/status/1734711285579694324","","","263"
"Tue Dec 12 22:53:03 +0000 2023","1734707968602497197","@serigalasepi @kumparan Kasihan pak wiranto tak ada sedikitpun senyum tawa dan tepuk tangan sama sekali saat duduk dibelakang mas gibran 🤔rasa malu terpaksa menyesal    hya dia dan Allah yg tau","0","0","0","16","in","1048941841511407618","1734594350741659919","14Simanis","https://twitter.com/14Simanis/status/1734707968602497197","","","158"
"Tue Dec 12 22:04:12 +0000 2023","1734695674040734009","Momen Unik Silaturahmi Gibran ke Habib Kwitang  Warga Ajak Putra Presiden Mampir ke Rumahnya https://t.co/f4Irztp9Ca","0","0","2","2","in","55507370","1734695674040734009","tvOneNews","https://twitter.com/tvOneNews/status/1734695674040734009","","Pulo Gadung, Indonesia","9846490"
"Tue Dec 12 23:20:40 +0000 2023","1734714918962893227","@gibran_tweet Asam sulfat cuma plagiator  tidak punya ide dan gagasan....!","0","0","0","7","in","2357998424","1734469458872426804","rachman0565","https://twitter.com/rachman0565/status/1734714918962893227","","","1149"
"Tue Dec 12 22:08:16 +0000 2023","1734696699128607075","@idextratime 1. Anies &amp; cak imin  2. Prabowo &amp; Gibran 3. Ganjar &amp; Mahfud MD  4. Manchester United","0","0","0","4","in","1198108667721089024","1734696482383810643","jackduls","https://twitter.com/jackduls/status/1734696699128607075","","Manchester pelosok","42"
"Tue Dec 12 23:32:36 +0000 2023","1734717919513485484","@berlianidris Kalau menurut ustadz Anis Matta saat ini secara faktual....Prabowo-Gibran adalsh pahlawan nya Gelora....minimal dapet kursi menteri atau komisaris lah ya.....makanya menjilatnya di luar nalar logika.... Bahkan dimata seorang Anis Matta yang cerdas secara intelektual jadi penjilat","0","1","0","6","in","111600726","1734622053146214607","manthovani123","https://twitter.com/manthovani123/status/1734717919513485484","","Serpong","131"
"Tue Dec 12 21:46:22 +0000 2023","1734691184747196915","Aduhhhh iya lagi wkwkwk. Gue kepengen banget lihat Gibran ditongseng dan dicincang oleh Mahfud.","0","0","0","1","in","366567010","1734691184747196915","ivyclover13","https://twitter.com/ivyclover13/status/1734691184747196915","","Jakarta Selatan, Indonesia","1395"
"Tue Dec 12 23:40:35 +0000 2023","1734719928010408369","@kompascom Prabowo dulu terlihat pintar ya karena lawannya hanya sekelas bapaknya Gibran  kalo sekarang lawannya aktivis semua  keringat dingin lah dia awokwokwok","0","0","0","19","in","1574633555875229697","1734587588512735447","Ariono_Notokusm","https://twitter.com/Ariono_Notokusm/status/1734719928010408369","","","4"
"Tue Dec 12 23:19:20 +0000 2023","1734714583007510572","@DokterTifa @gibran_tweet Jhaaa tertipu lagi sama bocah.. di kira udah lancar ngomong tanpa melihat teks .. ternyata sama saja sama bpk nya","0","0","0","11","in","1589976507942076416","1734557877178671357","AlpianVido","https://twitter.com/AlpianVido/status/1734714583007510572","","","142"
"Tue Dec 12 21:48:04 +0000 2023","1734691612532625588","@qha_sa @Fahrihamzah Emosian ga tenang ...cenderung menuju titik 0 pantas gibran Mau jadi wapresnya","0","0","0","7","in","854110236","1734622164173602936","dreiyalf","https://twitter.com/dreiyalf/status/1734691612532625588","","Dunia Fana","141"
